url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label,submitted_url,normalized_url,live_status,behavioural_eligible,hybrid_eligible,status_code,final_url,content_type,downloaded_bytes,redirect_count,html_available,error_type,error_message,audit_timestamp
https://www.dortex.se/,https://www.dortex.se,dortex.se,mendeley,online_shopping,0,legitimate,legitimate,https://www.dortex.se/,https://www.dortex.se/,accessible,1,1,200.0,https://www.dortex.se/,text/html,81036,0,1,,,2026-09-04T05:00:40.996207+00:00
https://www.dpdlocakqz.shop/com,https://www.dpdlocakqz.shop/com,dpdlocakqz.shop,phishtank,phishing,1,phishing,yes,https://www.dpdlocakqz.shop/com,https://www.dpdlocakqz.shop/com,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:00:50.186546+00:00
https://paulequipmentcompany.com/,https://paulequipmentcompany.com/,paulequipmentcompany.com,scamferret,online_shopping,1,online_shopping,scam,https://paulequipmentcompany.com/,https://paulequipmentcompany.com/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:00:51.392722+00:00
https://weebly-pk.com/,https://weebly-pk.com/,weebly-pk.com,scamferret,investment,1,investment,scam,https://weebly-pk.com/,https://weebly-pk.com/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:00:52.599691+00:00
https://stocksglobalfx.net/,https://stocksglobalfx.net/,stocksglobalfx.net,scamferret,cryptocurrency,1,cryptocurrency,scam,https://stocksglobalfx.net/,https://stocksglobalfx.net/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:00:53.809446+00:00
https://19marmic22.z13.web.core.windows.net/,https://19marmic22.z13.web.core.windows.net/,windows.net,scamferret,technical_support,1,technical_support,scam,https://19marmic22.z13.web.core.windows.net/,https://19marmic22.z13.web.core.windows.net/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:00:54.998957+00:00
https://www.cherieboutique.it/,https://www.cherieboutique.it,cherieboutique.it,mendeley,online_shopping,0,legitimate,legitimate,https://www.cherieboutique.it/,https://www.cherieboutique.it/,timeout,0,0,,https://cherieboutique.it/,,0,1,0,timeout,timed out,2026-09-04T05:00:57.713101+00:00
https://subdomain.vdtronwebrriel.sbs/indexhtml,https://subdomain.vdtronwebrriel.sbs/indexhtml,vdtronwebrriel.sbs,phishtank,phishing,1,phishing,yes,https://subdomain.vdtronwebrriel.sbs/indexhtml,https://subdomain.vdtronwebrriel.sbs/indexhtml,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:01:05.831450+00:00
https://tobeachsurf.com/,https://tobeachsurf.com,tobeachsurf.com,mendeley,online_shopping,1,online_shopping,fraudulent,https://tobeachsurf.com/,https://tobeachsurf.com/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:01:07.056022+00:00
https://tradifyfxtrade.com/,https://tradifyfxtrade.com/,tradifyfxtrade.com,scamferret,investment,1,investment,scam,https://tradifyfxtrade.com/,https://tradifyfxtrade.com/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T05:01:08.267171+00:00
