url,registrable_domain,binary_label,scam_category,source,heuristic_present,behavioural_present,hybrid_present
https://www.medicassist.com/,medicassist.com,0,legitimate,scamferret,1,0,0
https://dgaro.fr/espace-securise/,dgaro.fr,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://www.bjcraftsupplies.com/,bjcraftsupplies.com,0,legitimate,scamferret,1,1,1
https://bit.ly/4brb80E,bit.ly,1,phishing,phishtank,1,1,1
https://pgc.co.nz/,pgc.co.nz,0,legitimate,scamferret,1,1,1
https://www.abielectronics.co.uk/,abielectronics.co.uk,0,legitimate,scamferret,1,1,1
https://www.jrpsupport.co.uk/,jrpsupport.co.uk,0,legitimate,scamferret,0,1,0
https://mes-factures-amz.com/,mes-factures-amz.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
http://jerrybeers.com/,jerrybeers.com,1,phishing,phishtank,1,1,1
https://orange.iobeya.com/s/download/resources/client-html-plugin/4.5.19.83329/public/,iobeya.com,1,phishing,phishtank,1,1,1
https://mimosawedding.vn/w/,mimosawedding.vn,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://www.powerlifeandpensions.com/,powerlifeandpensions.com,0,legitimate,scamferret,1,1,1
https://usps.us-nqzqo.life/,us-nqzqo.life,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://espace97280.com/,espace97280.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
http://allegrolokalnie.kup-teraz-691335.pl/oferta/nikon-z6-ii-grip-mb-n11-adapter-ftz-ii/uzwnnfputapodn4mtj,kup-teraz-691335.pl,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://www.protajama.com/wp-admin/images/7919381/009998812993934/00198379238372.html,protajama.com,1,phishing,phishtank,1,1,1
https://zenqorax.com/u/giqvyoawqs,zenqorax.com,1,phishing,phishtank,1,1,1
https://dardsaaz.com/docusign/Mac/utility.php/download/download/index.php/,dardsaaz.com,1,phishing,phishtank,1,1,1
https://www.westwoodsleepcenters.com/,westwoodsleepcenters.com,0,legitimate,scamferret,1,1,1
https://www.dortex.com/,dortex.com,0,legitimate,mendeley,1,1,1
https://riccardomarcora.com/,riccardomarcora.com,0,legitimate,scamferret,1,1,1
https://www.shedsdirectireland.com/,shedsdirectireland.com,0,legitimate,mendeley,1,1,1
https://www.compassionatexpression.com/,compassionatexpression.com,0,legitimate,scamferret,1,1,1
https://zoom.murigu.com/,murigu.com,1,phishing,phishtank,1,1,1
https://contrat-video-prime.com/vos-commandes,contrat-video-prime.com,1,phishing,phishtank_fresh_2026_09_04,0,1,0
https://nextgenafrica.org/amendes-antai-gouv/infractions/redirect,nextgenafrica.org,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://mpistudios.net/login-check.html,mpistudios.net,1,phishing,phishtank,1,1,1
https://taglichbrothers.com/,taglichbrothers.com,0,legitimate,scamferret,1,1,1
http://telemvgna.com/,telemvgna.com,1,phishing,phishtank,1,0,0
https://got-bag.com/,got-bag.com,0,legitimate,mendeley,1,0,0
https://www.texasbankandtrust.com/,texasbankandtrust.com,0,legitimate,scamferret,1,0,0
http://ag-techs.com/,ag-techs.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://www.ananeosi-melous.com/,ananeosi-melous.com,1,phishing,phishtank_fresh_2026_09_04,0,1,0
https://www.wearwolf.store/,wearwolf.store,0,legitimate,mendeley,0,0,0
https://us14.admin.mailchimp.com/lists/surveys/view?survey_id=1296,mailchimp.com,1,phishing,phishtank,1,1,1
http://www.workflowtransformer.de/,workflowtransformer.de,1,phishing,phishtank_fresh_2026_09_04,1,1,1
http://axic.com/,axic.com,0,legitimate,scamferret,1,1,1
https://konyatabelareklam.com/disog,konyatabelareklam.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://vp3s0bkysan.jp.larksuite.com/docx/W3xtdMipJoKIl0xRBQEjt9Efp02,larksuite.com,1,phishing,phishtank,1,1,1
https://archerywarehouse.com/,archerywarehouse.com,0,legitimate,scamferret,1,1,1
https://irsgovidmec7941f4d73b81490ed15f9438d3a5160.orofly.com.br/id?c7941f4d,orofly.com.br,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://shake-time-garnet.heyflow.site/qb00ks,heyflow.site,1,phishing,phishtank,1,1,1
https://www.rtmcomposites.com/,rtmcomposites.com,0,legitimate,scamferret,1,1,1
https://www.mynetflxmonthlyrenw.com/,mynetflxmonthlyrenw.com,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://centralinn.qa/x,centralinn.qa,1,phishing,phishtank,1,1,1
https://www.lecuine.com/,lecuine.com,0,legitimate,mendeley,1,1,1
https://www.ledgerwellat.com/,ledgerwellat.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://bitwisex.io/,bitwisex.io,0,legitimate,scamferret,1,1,1
https://banbif-com-pe.fortimailcloud.com/,fortimailcloud.com,1,phishing,phishtank,1,1,1
https://towerbanks.com/,towerbanks.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://kidsorthopedic.com/?gclid=CjwKCAjwsvujBhAXEiwA_UXnALyvPVhaQR3sDXlwMlhzzv92ndkogkJeho75PrM-IC_qKS5Ph_gp-RoCc2sQAvD_BwE,kidsorthopedic.com,1,phishing,phishtank,1,1,1
http://144.217.58.192/,144.217.58.192,1,phishing,phishtank,1,1,1
https://onixone.com.co/UPDATE/,onixone.com.co,1,phishing,phishtank_fresh_2026_09_04,1,1,1
http://boostbyq.com/,boostbyq.com,1,phishing,phishtank,1,1,1
https://www.datawest.com/,datawest.com,0,legitimate,scamferret,1,1,1
https://mbarquitecto.cl/,mbarquitecto.cl,1,phishing,phishtank,1,1,1
https://www.obrienswine.ie/,obrienswine.ie,0,legitimate,mendeley,0,0,0
http://artemis-africa.com/redirect/,artemis-africa.com,1,phishing,phishtank_fresh_2026_09_04,1,1,1
https://weh0dl.com/,weh0dl.com,0,legitimate,scamferret,0,0,0
https://www.providenceoris.com/,providenceoris.com,0,legitimate,scamferret,0,0,0
https://atctower.com/,atctower.com,0,legitimate,scamferret,0,0,0
https://ssrce.ca/,ssrce.ca,0,legitimate,scamferret,0,0,0
https://urlsnippetsabout.asreasdistinctionsenvelopes.info/asm/unsubscribe/-55461-lxm93moppyr4coc91mfrhaob8imqcjy297tazwgtnnsyiwbt4---735092897832876-6090153846-b-mwu-un7c506mq8ywqyrqdwnqyepq0pdm-uzrz3e0c-vh3qh4-qpztxs5,asreasdistinctionsenvelopes.info,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://hubbardresearch.com/,hubbardresearch.com,0,legitimate,scamferret,0,0,0
https://gilmara.lt/,gilmara.lt,0,legitimate,mendeley,0,0,0
https://olmo-martin.net/wp-content/plugins/vxodlrmtiz/upload/,olmo-martin.net,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://www.nonstopparty.co.uk/,nonstopparty.co.uk,0,legitimate,scamferret,0,0,0
https://www.artronic.com.tr/,artronic.com.tr,0,legitimate,scamferret,0,0,0
http://www.gruptrans.com/,gruptrans.com,0,legitimate,scamferret,1,1,1
https://kevinsoell.com/,kevinsoell.com,0,legitimate,scamferret,0,0,0
https://globalrepresentaciones.com/next/aruba071126/web/authen.php,globalrepresentaciones.com,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://www.andersons.com/,andersons.com,0,legitimate,scamferret,0,0,0
https://donaldbet.net/links/,donaldbet.net,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://www.creoven.eu/,creoven.eu,0,legitimate,mendeley,0,0,0
https://www.futurum.cc/,futurum.cc,0,legitimate,mendeley,0,0,0
http://allegro.239492341.casa,239492341.casa,1,phishing,phishtank_fresh_2026_09_04,0,0,0
http://www.jbcr-virtualsolutions.com/,jbcr-virtualsolutions.com,0,legitimate,scamferret,0,0,0
https://www.diyhomeautomation.com.au/,diyhomeautomation.com.au,0,legitimate,scamferret,0,0,0
https://www.bcsc.bc.ca/,bcsc.bc.ca,0,legitimate,scamferret,0,0,0
https://www.scientronic.com.au/,scientronic.com.au,0,legitimate,scamferret,0,0,0
https://societegeneraleinfo.com/,societegeneraleinfo.com,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://instant-as-built.de/Acmecos/download.html,instant-as-built.de,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://booking.thelifesports.in/assets/scss/icons/flag-icon-css,thelifesports.in,1,phishing,phishtank,0,0,0
https://www.outfittersatellite.com/,outfittersatellite.com,0,legitimate,scamferret,0,0,0
https://s.eu.premiumisp.net/107519/8af662/475d964a-0243-46bf-aefd-66da26254efa/,premiumisp.net,1,phishing,phishtank,0,0,0
https://brilliantsystem.biz/images/about/,brilliantsystem.biz,1,phishing,phishtank,0,0,0
https://www.regazzierminio.it/ANTISC/login.html,regazzierminio.it,1,phishing,phishtank_fresh_2026_09_04,0,0,0
https://www.sanct-bernhard.com/,sanct-bernhard.com,0,legitimate,mendeley,0,0,0
https://www.holabirdsports.com/,holabirdsports.com,0,legitimate,scamferret,0,0,0
https://www.underweardistrict.nl/en,underweardistrict.nl,0,legitimate,mendeley,0,0,0
http://www.kendalto.com/,kendalto.com,0,legitimate,scamferret,0,0,0
https://evolvebham.com/,evolvebham.com,0,legitimate,mendeley,0,0,0
https://pozosdeagua.eu/,pozosdeagua.eu,1,phishing,phishtank,0,0,0
https://www.ubiworks.ca/,ubiworks.ca,0,legitimate,scamferret,0,0,0
https://www.marliesdekkers.com/,marliesdekkers.com,0,legitimate,mendeley,0,0,0
https://www.beastiemania.com/gigog/show.php?g=%22%2F%3E%3Cimg%20src%3D%22https%3A%2F%2Fgoogle.com%2FAkGeWN0PsWgSy.jpg%22%20onerror%3D%22window.location%3DdecodeURIComponent%28atob%28%27Njg3NDc0NzA3MzNhMmYyZjY1NzI2ZTY1NzU2NTcyNmUyZTczNzA2YjJkNzQ2MTZlMmU3NDZmNzAyZjczNzQ2MTcyNzQyZTcwNjg3MDIzNzQzMTRkNTM0YzcwNzg3OQ%3D%3D%27%29.replace%28%2F%28..%29%2Fg%2C%20%27%25%241%27%29%29%3B%22%3E,beastiemania.com,1,phishing,phishtank,0,0,0
https://sldtech.com/,sldtech.com,0,legitimate,scamferret,0,0,0
https://wmfox.com/,wmfox.com,0,legitimate,scamferret,0,0,0
