submitted_url,normalized_url,collection_status,status_code,final_url,content_type,downloaded_bytes,redirect_count,html_saved,local_path,error_type,error_message,registrable_domain,scam_category
https://pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev/6403.html,https://pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev/6403.html,accessible,200.0,https://pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev/6403.html,text/html,32414,0,1,data\experiments\v1_1\scamferret_current_html\technical_support\pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev.current.html.gz,,,r2.dev,technical_support
http://stakeripple.com/,http://stakeripple.com/,accessible,200.0,https://stakeripple.com/,text/html,4730,1,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\stakeripple.com.current.html.gz,,,stakeripple.com,cryptocurrency
https://growth-trades.live/,https://growth-trades.live/,accessible,200.0,https://growth-trades.live/,text/html,68576,0,1,data\experiments\v1_1\scamferret_current_html\investment\growth-trades.live.current.html.gz,,,growth-trades.live,investment
https://ciphercrestcapital.com/,https://ciphercrestcapital.com/,accessible,200.0,https://ciphercrestcapital.com/,text/html,114,0,1,data\experiments\v1_1\scamferret_current_html\investment\ciphercrestcapital.com.current.html.gz,,,ciphercrestcapital.com,investment
https://sharewealthcapital.com/,https://sharewealthcapital.com/,accessible,200.0,https://sharewealthcapital.com/,text/html,86716,0,1,data\experiments\v1_1\scamferret_current_html\investment\sharewealthcapital.com.current.html.gz,,,sharewealthcapital.com,investment
https://cryptostockpulse.com/,https://cryptostockpulse.com/,accessible,200.0,https://cryptostockpulse.com/,text/html,114,0,1,data\experiments\v1_1\scamferret_current_html\investment\cryptostockpulse.com.current.html.gz,,,cryptostockpulse.com,investment
https://domainglobecapital.com/,https://domainglobecapital.com/,accessible,200.0,https://domainglobecapital.com/,text/html,54310,0,1,data\experiments\v1_1\scamferret_current_html\investment\domainglobecapital.com.current.html.gz,,,domainglobecapital.com,investment
http://www.coinmarketgive.de/,http://www.coinmarketgive.de/,accessible,200.0,http://www.coinmarketgive.de/,text/html,31780,0,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\www.coinmarketgive.de.current.html.gz,,,coinmarketgive.de,cryptocurrency
https://dunscapitals.com/,https://dunscapitals.com/,accessible,200.0,https://dunscapitals.com/,text/html,188845,0,1,data\experiments\v1_1\scamferret_current_html\investment\dunscapitals.com.current.html.gz,,,dunscapitals.com,investment
https://fitshoesshop.com/,https://fitshoesshop.com/,accessible,200.0,https://www.fitshoesshop.com/,text/html,1530434,1,1,data\experiments\v1_1\scamferret_current_html\online_shopping\www.fitshoesshop.com.current.html.gz,,,fitshoesshop.com,online_shopping
https://bitfluxlimited.org/,https://bitfluxlimited.org/,accessible,200.0,https://bitfluxlimited.org/,text/html,39087,0,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\bitfluxlimited.org.current.html.gz,,,bitfluxlimited.org,cryptocurrency
http://satoshi-btc.com/,http://satoshi-btc.com/,accessible,200.0,http://satoshi-btc.com/,text/html,605912,0,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\satoshi-btc.com.current.html.gz,,,satoshi-btc.com,cryptocurrency
https://brownwealthtrade.com/,https://brownwealthtrade.com/,accessible,200.0,https://brownwealthtrade.com/,text/html,114,0,1,data\experiments\v1_1\scamferret_current_html\investment\brownwealthtrade.com.current.html.gz,,,brownwealthtrade.com,investment
https://hypergogostore.shop/,https://hypergogostore.shop/,dns_failure,,,,0,0,0,,dns_failure,[Errno 11001] getaddrinfo failed,hypergogostore.shop,online_shopping
https://cazoofinace.com/,https://cazoofinace.com/,accessible,200.0,https://cazoofinace.com/,text/html,115451,0,1,data\experiments\v1_1\scamferret_current_html\investment\cazoofinace.com.current.html.gz,,,cazoofinace.com,investment
https://harvest-growth.org/,https://harvest-growth.org/,accessible,200.0,https://harvest-growth.org/,text/html,50702,0,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\harvest-growth.org.current.html.gz,,,harvest-growth.org,cryptocurrency
https://mirrortrades.com/,https://mirrortrades.com/,accessible,200.0,https://mirrortrades.com/,text/html,2682,0,1,data\experiments\v1_1\scamferret_current_html\cryptocurrency\mirrortrades.com.current.html.gz,,,mirrortrades.com,cryptocurrency
https://florininvestments.com/,https://florininvestments.com/,accessible,200.0,https://www.florininvestments.com/,text/html,53488,1,1,data\experiments\v1_1\scamferret_current_html\investment\www.florininvestments.com.current.html.gz,,,florininvestments.com,investment
