url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label,source_record_id,submission_time,verification_time,target,collection_timestamp
https://www.regazzierminio.it/ANTISC/login.html,https://www.regazzierminio.it/ANTISC/login.html,regazzierminio.it,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9504553,2026-08-14T12:05:30+00:00,2026-09-04T03:11:56+00:00,Other,2026-09-04T07:17:35.831504+00:00
https://towerbanks.com/,https://towerbanks.com/,towerbanks.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9504119,2026-08-13T15:23:19+00:00,2026-09-03T12:12:01+00:00,Other,2026-09-04T07:17:35.831504+00:00
http://allegrolokalnie.pl-oferta7329836.lol,http://allegrolokalnie.pl-oferta7329836.lol,pl-oferta7329836.lol,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516279,2026-09-02T13:59:53+00:00,2026-09-02T14:02:35+00:00,Allegro,2026-09-04T07:17:35.831504+00:00
https://mr-relay-belgique.com/,https://mr-relay-belgique.com/,mr-relay-belgique.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516231,2026-09-02T12:23:13+00:00,2026-09-02T12:31:58+00:00,Other,2026-09-04T07:17:35.831504+00:00
https://bper-portale.com/pages/nvs0.php,https://bper-portale.com/pages/nvs0.php,bper-portale.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516219,2026-09-02T12:04:44+00:00,2026-09-02T12:11:58+00:00,Other,2026-09-04T07:17:35.831504+00:00
https://www.ledgerwellat.com/,https://www.ledgerwellat.com/,ledgerwellat.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516185,2026-09-02T11:08:28+00:00,2026-09-02T11:21:54+00:00,Other,2026-09-04T07:17:35.831504+00:00
https://dev.base-man.shop/pB7TpEDvqJdCcjDN,https://dev.base-man.shop/pB7TpEDvqJdCcjDN,base-man.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516181,2026-09-02T10:55:33+00:00,2026-09-02T11:21:54+00:00,Other,2026-09-04T07:17:35.831504+00:00
https://ledgerlivewebapp.com/,https://ledgerlivewebapp.com/,ledgerlivewebapp.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516180,2026-09-02T10:52:09+00:00,2026-09-02T11:21:54+00:00,Other,2026-09-04T07:17:35.831504+00:00
http://allegrolokalnie.pl01972.cam/oferta/hulajnoga-kukirin-g4-2026/235356191,http://allegrolokalnie.pl01972.cam/oferta/hulajnoga-kukirin-g4-2026/235356191,pl01972.cam,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516157,2026-09-02T10:36:14+00:00,2026-09-02T11:21:54+00:00,Allegro,2026-09-04T07:17:35.831504+00:00
https://espace97280.com/,https://espace97280.com/,espace97280.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9516144,2026-09-02T10:17:11+00:00,2026-09-02T11:11:51+00:00,Soci̩t̩ G̩n̩rale,2026-09-04T07:17:35.831504+00:00
