url,registrable_domain,source,binary_label,scam_category,live_status,behavioural_eligible,original_url,source_category,original_label,hybrid_eligible,status_code,final_url,content_type,downloaded_bytes,redirect_count,html_available,audit_timestamp
https://bitwisex.io/,bitwisex.io,scamferret,0,legitimate,accessible,1,https://bitwisex.io/,cryptocurrency,legitimate,1,200.0,https://bitwisex.io/,text/html,286244,0,1,2026-09-04T06:04:32.020196+00:00
https://banbif-com-pe.fortimailcloud.com/,fortimailcloud.com,phishtank,1,phishing,accessible,1,https://banbif-com-pe.fortimailcloud.com/,phishing,yes,1,200.0,https://banbif-com-pe.fortimailcloud.com/,text/html,50,0,1,2026-09-04T05:39:01.733896+00:00
https://towerbanks.com/,towerbanks.com,phishtank_fresh_2026_09_04,1,phishing,accessible,1,https://towerbanks.com/,phishing,yes,1,200.0,https://towerbanks.com/,text/html,1466,0,1,2026-09-04T07:21:17.928112+00:00
https://kidsorthopedic.com/?gclid=CjwKCAjwsvujBhAXEiwA_UXnALyvPVhaQR3sDXlwMlhzzv92ndkogkJeho75PrM-IC_qKS5Ph_gp-RoCc2sQAvD_BwE,kidsorthopedic.com,phishtank,1,phishing,accessible,1,https://kidsorthopedic.com/?gclid=CjwKCAjwsvujBhAXEiwA_UXnALyvPVhaQR3sDXlwMlhzzv92ndkogkJeho75PrM-IC_qKS5Ph_gp-RoCc2sQAvD_BwE,phishing,yes,1,200.0,https://www.kidsorthopedic.com/?gclid=CjwKCAjwsvujBhAXEiwA_UXnALyvPVhaQR3sDXlwMlhzzv92ndkogkJeho75PrM-IC_qKS5Ph_gp-RoCc2sQAvD_BwE,text/html,185416,1,1,2026-09-04T05:16:22.531531+00:00
http://144.217.58.192/,144.217.58.192,phishtank,1,phishing,accessible,1,http://144.217.58.192/,phishing,yes,1,200.0,http://144.217.58.192/,text/html,163,0,1,2026-09-04T05:50:44.629332+00:00
https://onixone.com.co/UPDATE/,onixone.com.co,phishtank_fresh_2026_09_04,1,phishing,accessible,1,https://onixone.com.co/UPDATE/,phishing,yes,1,200.0,https://onixone.com.co/UPDATE/,text/html,2786,0,1,2026-09-04T07:28:15.456158+00:00
http://boostbyq.com/,boostbyq.com,phishtank,1,phishing,accessible,1,http://boostbyq.com/,phishing,yes,1,200.0,https://boostbyq.com/,text/html,161248,1,1,2026-09-04T05:31:03.507795+00:00
https://www.datawest.com/,datawest.com,scamferret,0,legitimate,accessible,1,https://www.datawest.com/,technical_support,legitimate,1,200.0,https://www.datawest.com/,text/html,430734,0,1,2026-09-04T05:21:02.087228+00:00
https://mbarquitecto.cl/,mbarquitecto.cl,phishtank,1,phishing,accessible,1,https://mbarquitecto.cl/,phishing,yes,1,200.0,https://mbarquitecto.cl/,text/html,106899,0,1,2026-09-04T05:27:22.111453+00:00
https://www.obrienswine.ie/,obrienswine.ie,mendeley,0,legitimate,accessible,1,https://www.obrienswine.ie,online_shopping,legitimate,1,200.0,https://www.obrienswine.ie/,text/html,705058,0,1,2026-09-04T05:16:46.106180+00:00
http://artemis-africa.com/redirect/,artemis-africa.com,phishtank_fresh_2026_09_04,1,phishing,accessible,1,http://artemis-africa.com/redirect/,phishing,yes,1,200.0,http://artemis-africa.com/ph-sys/suspended/,text/html,1452,1,1,2026-09-04T07:26:31.862668+00:00
https://weh0dl.com/,weh0dl.com,scamferret,0,legitimate,accessible,1,https://weh0dl.com/,cryptocurrency,legitimate,1,200.0,https://weh0dl.com/,text/html,321960,0,1,2026-09-04T06:15:48.672578+00:00
https://www.providenceoris.com/,providenceoris.com,scamferret,0,legitimate,accessible,1,https://www.providenceoris.com/,technical_support,legitimate,1,200.0,https://www.providenceoris.com/,text/html,88994,0,1,2026-09-04T05:51:49.687338+00:00
https://atctower.com/,atctower.com,scamferret,0,legitimate,accessible,1,https://atctower.com/,technical_support,legitimate,1,200.0,https://www.atctower.com/,text/html,59625,1,1,2026-09-04T06:06:32.503293+00:00
https://ssrce.ca/,ssrce.ca,scamferret,0,legitimate,accessible,1,https://ssrce.ca/,technical_support,legitimate,1,200.0,https://ssrce.ca/,text/html,62383,0,1,2026-09-04T06:02:48.763105+00:00
https://urlsnippetsabout.asreasdistinctionsenvelopes.info/asm/unsubscribe/-55461-lxm93moppyr4coc91mfrhaob8imqcjy297tazwgtnnsyiwbt4---735092897832876-6090153846-b-mwu-un7c506mq8ywqyrqdwnqyepq0pdm-uzrz3e0c-vh3qh4-qpztxs5,asreasdistinctionsenvelopes.info,phishtank_fresh_2026_09_04,1,phishing,accessible,1,https://urlsnippetsabout.asreasdistinctionsenvelopes.info/asm/unsubscribe/-55461-lxm93moppyr4coc91mfrhaob8imqcjy297tazwgtnnsyiwbt4---735092897832876-6090153846-b-mwu-un7c506mq8ywqyrqdwnqyepq0pdm-uzrz3e0c-vh3qh4-qpztxs5,phishing,yes,1,200.0,https://maprimesante-vitales.abonnesclients-renouvellables.digital/,text/html,208,1,1,2026-09-04T07:32:55.051418+00:00
https://hubbardresearch.com/,hubbardresearch.com,scamferret,0,legitimate,accessible,1,https://hubbardresearch.com/,investment,legitimate,1,200.0,https://hubbardresearch.com/,text/html,275389,0,1,2026-09-04T06:21:09.728765+00:00
