url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label
https://www.dortex.se/,https://www.dortex.se,dortex.se,mendeley,online_shopping,0,legitimate,legitimate
https://www.dpdlocakqz.shop/com,https://www.dpdlocakqz.shop/com,dpdlocakqz.shop,phishtank,phishing,1,phishing,yes
https://paulequipmentcompany.com/,https://paulequipmentcompany.com/,paulequipmentcompany.com,scamferret,online_shopping,1,online_shopping,scam
https://weebly-pk.com/,https://weebly-pk.com/,weebly-pk.com,scamferret,investment,1,investment,scam
https://stocksglobalfx.net/,https://stocksglobalfx.net/,stocksglobalfx.net,scamferret,cryptocurrency,1,cryptocurrency,scam
https://19marmic22.z13.web.core.windows.net/,https://19marmic22.z13.web.core.windows.net/,windows.net,scamferret,technical_support,1,technical_support,scam
https://www.cherieboutique.it/,https://www.cherieboutique.it,cherieboutique.it,mendeley,online_shopping,0,legitimate,legitimate
https://subdomain.vdtronwebrriel.sbs/indexhtml,https://subdomain.vdtronwebrriel.sbs/indexhtml,vdtronwebrriel.sbs,phishtank,phishing,1,phishing,yes
https://tobeachsurf.com/,https://tobeachsurf.com,tobeachsurf.com,mendeley,online_shopping,1,online_shopping,fraudulent
https://tradifyfxtrade.com/,https://tradifyfxtrade.com/,tradifyfxtrade.com,scamferret,investment,1,investment,scam
https://kryptoelevate.com/,https://kryptoelevate.com/,kryptoelevate.com,scamferret,cryptocurrency,1,cryptocurrency,scam
https://joqkmmffxcs03cyudkjy5ky7naw6j0.pages.dev/smart89/,https://joqkmmffxcs03cyudkjy5ky7naw6j0.pages.dev/smart89/,pages.dev,scamferret,technical_support,1,technical_support,scam
https://www.juvelyrikosnamai.lt/,https://www.juvelyrikosnamai.lt,juvelyrikosnamai.lt,mendeley,online_shopping,0,legitimate,legitimate
https://home-page-1.masterdps.fr/client/home/,https://home-page-1.masterdps.fr/client/home/,masterdps.fr,phishtank,phishing,1,phishing,yes
https://www.bikeforword.com/,https://www.bikeforword.com,bikeforword.com,mendeley,online_shopping,1,online_shopping,fraudulent
https://altrainvests.ltd/,https://altrainvests.ltd/,altrainvests.ltd,scamferret,investment,1,investment,scam
https://haliteglobal.net/,https://haliteglobal.net/,haliteglobal.net,scamferret,cryptocurrency,1,cryptocurrency,scam
https://filmenoi2022.net/load/filme_dupa_gen/dragoste/it_ends_with_us_2024/10-1-0-2031,https://filmenoi2022.net/load/filme_dupa_gen/dragoste/it_ends_with_us_2024/10-1-0-2031,filmenoi2022.net,scamferret,technical_support,1,technical_support,scam
https://www.lemonbaysoap.com/,https://www.lemonbaysoap.com/,lemonbaysoap.com,scamferret,online_shopping,0,legitimate,legitimate
https://syangjaserofero.com/css11100/,https://syangjaserofero.com/css11100/,syangjaserofero.com,phishtank,phishing,1,phishing,yes
https://www.child-vogue.com/,https://www.child-vogue.com,child-vogue.com,mendeley,online_shopping,1,online_shopping,fraudulent
https://bestlifefutureinvestment.com/,https://bestlifefutureinvestment.com/,bestlifefutureinvestment.com,scamferret,investment,1,investment,scam
https://ftfxfinancialtrading.com/,https://ftfxfinancialtrading.com/,ftfxfinancialtrading.com,scamferret,cryptocurrency,1,cryptocurrency,scam
https://zcxzcxzcx.d2jk5f4fer48s8.amplifyapp.com/store.html,https://zcxzcxzcx.d2jk5f4fer48s8.amplifyapp.com/store.html,amplifyapp.com,scamferret,technical_support,1,technical_support,scam
https://www.palladiumequity.com/,https://www.palladiumequity.com/,palladiumequity.com,scamferret,investment,0,legitimate,legitimate
http://allegro.433943201294h843.lol/,http://allegro.433943201294h843.lol,433943201294h843.lol,phishtank,phishing,1,phishing,yes
https://www.approshop.com/,https://www.approshop.com,approshop.com,mendeley,online_shopping,1,online_shopping,fraudulent
https://fundvistax.com/,https://fundvistax.com/,fundvistax.com,scamferret,investment,1,investment,scam
https://girl-boutiq.com/,https://girl-boutiq.com/,girl-boutiq.com,scamferret,cryptocurrency,1,cryptocurrency,scam
https://squid-app-2-hlun5.ondigitalocean.app/,https://squid-app-2-hlun5.ondigitalocean.app/,ondigitalocean.app,scamferret,technical_support,1,technical_support,scam
https://www.credomen.com/,https://www.credomen.com,credomen.com,mendeley,online_shopping,0,legitimate,legitimate
https://kleinanzeigen.344351.cfd/login/?id=1831359123,https://kleinanzeigen.344351.cfd/login/?id=1831359123,344351.cfd,phishtank,phishing,1,phishing,yes
https://marcjacoshop.com/,https://marcjacoshop.com/,marcjacoshop.com,scamferret,online_shopping,1,online_shopping,scam
https://masterxmind.com/,https://masterxmind.com/,masterxmind.com,scamferret,investment,1,investment,scam
https://eliteprofx.com/,https://eliteprofx.com/,eliteprofx.com,scamferret,cryptocurrency,1,cryptocurrency,scam
https://calm-desert-0b54ac810.5.azurestaticapps.net/Win08ShDMeEr0887/index.html,https://calm-desert-0b54ac810.5.azurestaticapps.net/Win08ShDMeEr0887/index.html,azurestaticapps.net,scamferret,technical_support,1,technical_support,scam
https://www.alignsolutions.com.au/,https://www.alignsolutions.com.au/,alignsolutions.com.au,scamferret,technical_support,0,legitimate,legitimate
https://orange.iobeya.com/s/download/resources/client-html-plugin/4.5.19.83329/public/,https://orange.iobeya.com/s/download/resources/client-html-plugin/4.5.19.83329/public/,iobeya.com,phishtank,phishing,1,phishing,yes
https://zarhomeshop.com/,https://zarhomeshop.com/,zarhomeshop.com,scamferret,online_shopping,1,online_shopping,scam
https://onexfex.com/,https://onexfex.com/,onexfex.com,scamferret,investment,1,investment,scam
https://trusttrading-limited.net/,https://trusttrading-limited.net/,trusttrading-limited.net,scamferret,cryptocurrency,1,cryptocurrency,scam
https://www.applesassist.com/,https://www.applesassist.com/,applesassist.com,scamferret,technical_support,1,technical_support,scam
https://www.mcintoshassociates.com/,https://www.mcintoshassociates.com/,mcintoshassociates.com,scamferret,technical_support,0,legitimate,legitimate
