url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label,submitted_url,normalized_url,live_status,behavioural_eligible,hybrid_eligible,status_code,final_url,content_type,downloaded_bytes,redirect_count,html_available,error_type,error_message,audit_timestamp
https://www.dortex.se/,https://www.dortex.se,dortex.se,mendeley,online_shopping,0,legitimate,legitimate,https://www.dortex.se/,https://www.dortex.se/,accessible,1,1,200.0,https://www.dortex.se/,text/html,81036,0,1,,,2026-09-04T05:00:40.996207+00:00
https://www.juvelyrikosnamai.lt/,https://www.juvelyrikosnamai.lt,juvelyrikosnamai.lt,mendeley,online_shopping,0,legitimate,legitimate,https://www.juvelyrikosnamai.lt/,https://www.juvelyrikosnamai.lt/,accessible,1,1,200.0,https://www.juvelyrikosnamai.lt/,text/html,149213,0,1,,,2026-09-04T05:01:12.633593+00:00
https://www.lemonbaysoap.com/,https://www.lemonbaysoap.com/,lemonbaysoap.com,scamferret,online_shopping,0,legitimate,legitimate,https://www.lemonbaysoap.com/,https://www.lemonbaysoap.com/,accessible,1,1,200.0,https://lemonbaysoap.com/,text/html,7966,1,1,,,2026-09-04T05:01:29.244704+00:00
https://www.palladiumequity.com/,https://www.palladiumequity.com/,palladiumequity.com,scamferret,investment,0,legitimate,legitimate,https://www.palladiumequity.com/,https://www.palladiumequity.com/,accessible,1,1,200.0,https://www.palladiumequity.com/,text/html,44275,0,1,,,2026-09-04T05:01:50.247930+00:00
https://www.alignsolutions.com.au/,https://www.alignsolutions.com.au/,alignsolutions.com.au,scamferret,technical_support,0,legitimate,legitimate,https://www.alignsolutions.com.au/,https://www.alignsolutions.com.au/,accessible,1,1,200.0,https://www.alignsolutions.com.au/,text/html,98840,0,1,,,2026-09-04T05:12:15.396594+00:00
https://www.mcintoshassociates.com/,https://www.mcintoshassociates.com/,mcintoshassociates.com,scamferret,technical_support,0,legitimate,legitimate,https://www.mcintoshassociates.com/,https://www.mcintoshassociates.com/,accessible,1,1,200.0,https://www.mcintoshassociates.com/,text/html,156310,0,1,,,2026-09-04T05:12:31.015410+00:00
https://www.landzdown.com/,https://www.landzdown.com/,landzdown.com,scamferret,technical_support,0,legitimate,legitimate,https://www.landzdown.com/,https://www.landzdown.com/,accessible,1,1,200.0,https://fairgologin.app/,text/html,466822,1,1,,,2026-09-04T05:12:50.398463+00:00
https://www.commissarybbq.com/,https://www.commissarybbq.com/,commissarybbq.com,scamferret,online_shopping,0,legitimate,legitimate,https://www.commissarybbq.com/,https://www.commissarybbq.com/,accessible,1,1,200.0,https://www.commissarybbq.com/,text/html,34978,0,1,,,2026-09-04T05:13:02.522972+00:00
https://maryland529.com/,https://maryland529.com/,maryland529.com,scamferret,investment,0,legitimate,legitimate,https://maryland529.com/,https://maryland529.com/,accessible,1,1,200.0,https://maryland529.com/,text/html,54867,0,1,,,2026-09-04T05:13:48.349479+00:00
https://riccardomarcora.com/,https://riccardomarcora.com/,riccardomarcora.com,scamferret,cryptocurrency,0,legitimate,legitimate,https://riccardomarcora.com/,https://riccardomarcora.com/,accessible,1,1,200.0,https://riccardomarcora.com/,text/html,90883,0,1,,,2026-09-04T05:14:08.594194+00:00
