url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label,live_status,audit_timestamp,h_url_length,h_hostname_length,h_domain_length,h_path_length,h_query_length,h_fragment_length,h_dot_count,h_hyphen_count,h_digit_count,h_special_character_count,h_underscore_count,h_at_symbol_count,h_percent_encoded_count,h_subdomain_count,h_has_ip_address,h_parameter_count,h_repeated_character_count,h_suspicious_token_count,h_has_suspicious_extension,h_domain_is_long,h_url_is_long,h_subdomain_count_domain,h_is_ip_hostname,h_dns_resolved,h_a_count,h_aaaa_count,h_mx_count,h_ns_count,h_has_a_record,h_has_aaaa_record,h_has_mx_record,h_has_ns_record,h_rdap_available,h_domain_age_days,h_uses_https,h_tls_connection_success,h_certificate_present,h_certificate_valid_now,h_certificate_expired,h_hostname_match,h_days_until_expiry,h_certificate_lifetime_days,h_http_request_success,h_http_status_code,h_http_redirect_count,h_http_downloaded_bytes,h_http_response_too_large,h_http_content_type_allowed,h_form_count,h_password_field_count,h_payment_field_count,h_hidden_input_count,h_iframe_count,h_script_count,h_hidden_element_count,h_link_count,h_internal_link_count,h_external_link_count,h_external_link_ratio,h_form_action_count,h_empty_form_action_count,h_javascript_form_action_count,h_external_form_action_count,h_suspicious_form_action_count,h_meta_refresh_count,h_has_meta_refresh,h_suspicious_keyword_count,h_urgency_keyword_count,h_crypto_keyword_count,h_login_keyword_count,h_payment_keyword_count,h_has_password_field,h_has_payment_field,h_has_iframe,h_has_external_form_action,b_redirect_count,b_cross_domain_redirect_count,b_popup_count,b_dialog_count,b_automatic_navigation_count,b_has_automatic_navigation,b_total_request_count,b_external_request_count,b_external_request_ratio,b_blocked_request_count,b_state_changing_request_attempt_count,b_download_attempt_count,b_dom_mutation_count,b_form_action_change_count,b_dynamic_form_count,b_title_change_count,b_has_title_change,b_countdown_detected,b_page_error_count,b_failed_request_count,split
https://bit.ly/3Ba1Yck,https://bit.ly/3Ba1Yck,bit.ly,phishtank,phishing,1,phishing,yes,accessible,2026-08-30T12:36:49.330567+00:00,22.0,6.0,6.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,1.0,200.0,0.0,5551.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
https://acnote010.firebaseapp.com/,https://acnote010.firebaseapp.com/,firebaseapp.com,phishtank,phishing,1,phishing,yes,accessible,2026-08-30T12:37:09.437584+00:00,34.0,25.0,15.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,49.0,89.0,1.0,200.0,0.0,2912.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,training
https://www.akinsmachinery.com/,https://www.akinsmachinery.com/,akinsmachinery.com,scamferret,technical_support,0,legitimate,legitimate,accessible,2026-08-30T12:37:34.341157+00:00,31.0,22.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,48.0,89.0,1.0,200.0,3.0,288312.0,0.0,1.0,23.0,0.0,0.0,137.0,1.0,65.0,3.0,792.0,777.0,3.0,0.003846,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,109.0,18.0,0.165138,4.0,4.0,0.0,1357.0,0.0,40.0,1.0,1.0,1.0,0.0,4.0,training
https://bogunrealtyandluxuryhomes.com/,https://bogunrealtyandluxuryhomes.com/,bogunrealtyandluxuryhomes.com,scamferret,investment,0,legitimate,legitimate,accessible,2026-08-30T12:38:01.135207+00:00,38.0,29.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,62.0,89.0,1.0,200.0,0.0,68665.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,38.0,8.0,156.0,124.0,23.0,0.156463,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,115.0,0.92,2.0,2.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,training
https://docs.google.com/presentation/d/e/2PACX-1vSwQxH71Na3X38_zNe9-Qiy16mcZD_fIENflU_XlkgD6GdrvBzkzlDqD2JjHk8F8PtLT-tglrAZfkvr/pub?start=false&loop=false&delayms=3000&slide=id.p,https://docs.google.com/presentation/d/e/2PACX-1vSwQxH71Na3X38_zNe9-Qiy16mcZD_fIENflU_XlkgD6GdrvBzkzlDqD2JjHk8F8PtLT-tglrAZfkvr/pub?start=false&loop=false&delayms=3000&slide=id.p,google.com,phishtank,phishing,1,phishing,yes,accessible,2026-08-30T12:38:05.129385+00:00,178.0,15.0,10.0,108.0,46.0,0.0,3.0,3.0,18.0,12.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,63.0,83.0,1.0,200.0,0.0,141110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.4375,4.0,3.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,training
http://www.childersre.com/,http://www.childersre.com/,childersre.com,scamferret,investment,0,legitimate,legitimate,accessible,2026-08-30T12:38:12.130460+00:00,26.0,18.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,200.0,1.0,33423.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,27.0,5.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,0.678571,3.0,3.0,0.0,60.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,training
https://cryptofastfx.com/,https://cryptofastfx.com/,cryptofastfx.com,scamferret,cryptocurrency,1,cryptocurrency,scam,accessible,2026-08-30T12:38:19.251715+00:00,25.0,16.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,1.0,200.0,1.0,43963.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,17.0,0.0,64.0,54.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65.0,28.0,0.430769,5.0,5.0,0.0,33.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,training
https://gesovivienda.com.mx/wp-login/main/server/roundcube/interface.root/login/Roundcube%20Webmail%20__%20Welcome%20to%20Roundcube%20Webmail.html?cms=x,https://gesovivienda.com.mx/wp-login/main/server/roundcube/interface.root/login/Roundcube%20Webmail%20__%20Welcome%20to%20Roundcube%20Webmail.html?cms=x,gesovivienda.com.mx,phishtank,phishing,1,phishing,yes,accessible,2026-08-30T12:38:47.708732+00:00,152.0,19.0,19.0,119.0,5.0,0.0,4.0,1.0,12.0,11.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,85.0,89.0,1.0,200.0,0.0,273345.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
https://l.ead.me/bgbNSt,https://l.ead.me/bgbNSt,ead.me,phishtank,phishing,1,phishing,yes,accessible,2026-08-30T12:39:11.871684+00:00,23.0,8.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,126.0,197.0,1.0,200.0,0.0,7070.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,2.0,4.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,training
https://www.gottalive.com/,https://www.gottalive.com,gottalive.com,mendeley,online_shopping,0,legitimate,legitimate,accessible,2026-08-30T12:39:19.002528+00:00,26.0,17.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,35.0,90.0,1.0,200.0,0.0,53854.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,115.0,93.0,0.808696,7.0,7.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,2.0,8.0,training
