url,registrable_domain,source,source_category,binary_label,scam_category,original_label,split
https://bit.ly/3Ba1Yck,bit.ly,phishtank,phishing,1,phishing,yes,training
https://acnote010.firebaseapp.com/,firebaseapp.com,phishtank,phishing,1,phishing,yes,training
https://www.akinsmachinery.com/,akinsmachinery.com,scamferret,technical_support,0,legitimate,legitimate,training
https://bogunrealtyandluxuryhomes.com/,bogunrealtyandluxuryhomes.com,scamferret,investment,0,legitimate,legitimate,training
https://docs.google.com/presentation/d/e/2PACX-1vSwQxH71Na3X38_zNe9-Qiy16mcZD_fIENflU_XlkgD6GdrvBzkzlDqD2JjHk8F8PtLT-tglrAZfkvr/pub?start=false&loop=false&delayms=3000&slide=id.p,google.com,phishtank,phishing,1,phishing,yes,training
http://www.childersre.com/,childersre.com,scamferret,investment,0,legitimate,legitimate,training
https://cryptofastfx.com/,cryptofastfx.com,scamferret,cryptocurrency,1,cryptocurrency,scam,training
https://gesovivienda.com.mx/wp-login/main/server/roundcube/interface.root/login/Roundcube%20Webmail%20__%20Welcome%20to%20Roundcube%20Webmail.html?cms=x,gesovivienda.com.mx,phishtank,phishing,1,phishing,yes,training
https://l.ead.me/bgbNSt,ead.me,phishtank,phishing,1,phishing,yes,training
https://www.gottalive.com/,gottalive.com,mendeley,online_shopping,0,legitimate,legitimate,training
https://pub-864dbfd3824c4fdc9fc9b3a1bcace7e0.r2.dev/180.html,r2.dev,scamferret,technical_support,1,technical_support,scam,training
https://cozumelliving.com/,cozumelliving.com,scamferret,investment,0,legitimate,legitimate,training
https://wix-l.in/k-4ho35tQg,wix-l.in,phishtank,phishing,1,phishing,yes,training
https://www.family-pills.com/,family-pills.com,mendeley,online_shopping,1,online_shopping,fraudulent,training
https://www.grahamtastic.org/,grahamtastic.org,scamferret,technical_support,0,legitimate,legitimate,training
https://q-r.to/bfOBL0,q-r.to,phishtank,phishing,1,phishing,yes,training
https://www.getzoo.de/,getzoo.de,mendeley,online_shopping,0,legitimate,legitimate,training
https://xmyrkhbwjkes.com∕xmyrkhbwjkes∕xmyrkhbwjkes∕xmyrkhbwjkes@mango-odut-5bxb.345fq3e7.workers.dev/,workers.dev,phishtank,phishing,1,phishing,yes,training
https://germanysolingen.com/en,germanysolingen.com,mendeley,online_shopping,0,legitimate,legitimate,training
https://vistatradecapital.com/,vistatradecapital.com,scamferret,investment,1,investment,scam,training
https://www.highcountrygardens.com/,highcountrygardens.com,scamferret,online_shopping,0,legitimate,legitimate,validation
https://t.co/zvhtmpE6Yx,t.co,phishtank,phishing,1,phishing,yes,validation
https://www.danfitzgeralds.com/,danfitzgeralds.com,mendeley,online_shopping,0,legitimate,legitimate,validation
https://2fhb45.share-eu1.hsforms.com/2p4_SVLQmQ3eybvQmObL8XQ,hsforms.com,phishtank,phishing,1,phishing,yes,validation
https://e-sodotechnika.lt/,e-sodotechnika.lt,mendeley,online_shopping,0,legitimate,legitimate,testing
https://qrco.de/GznNnKaoz6qj4O8nWAmrGmuG6WL1ovkd1jZrna4WybF2N,qrco.de,phishtank,phishing,1,phishing,yes,testing
https://www.lmsoft.com/en/,lmsoft.com,scamferret,technical_support,0,legitimate,legitimate,testing
https://dunscapitals.com/,dunscapitals.com,scamferret,investment,1,investment,scam,testing
https://forms.gle/pBdCdwSvWLFkZ1bc9,forms.gle,phishtank,phishing,1,phishing,yes,testing
